Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
QR 360 แอพสแกนไปข้อมูลคนอื่น,QR 360 แอพสแกนไปข้อมูลคนอื่น,QR360 หากใช้มือถือสแกนจากเมนูเครื่องทั่วไปจะไปฟอร์มที่ถูกต้อง แต่หากใช้แอพของถาบันนั้นสแกน จะไปที่หน้าข้อมูลฟอร์มของคนอื่น,เห็นคำตอบฟอร์มของคนอื่น,สแกนด้วยแอพสถาบันนั้นหรือด้วยเมนูเครื่องควรไปฟอร์มที่ถูกต้องเดียวกัน,Critical,Data,Wrong,Coding,Security,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Security",,
General: Conference time - part 3,Conference page shows incorrect time,ต่อจาก พาท1&2 - (Teacher role) หากออกมาที่หน้ารวม Conference ด้านนอก จะพบรายการ Conference ทั้งหมด ซึ่งแสดงวัน-เวลาผิดปกติ (ตามภาพในลิ่งค์ ggdrive),แสดงวัน-เวลาผิด ในหน้ารวม(Teacher role) ในขณะที่หากนักเรียนไม่ได้ถูก Add by creator จะมองไม่เห็น Conference ดังกล่าว และไม่มีอีเมลแจ้ง conference เข้า (นอกจาก Creator ทำการ Add จึงได้รับ mail),หน้ารวมของเมนู Conference ควรแสดงเวลาที่ถูกต้อง และ อาจต้องตรวจสอบหลังแก้ไขว่า mail ทำงานปกติถูกต้อง (ได้รับ mail ปกติ),Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
Lost pre-requisite form,DOP3 POCUS ไม่มี pre-requisite ให้เด็กทำ,ใช้ Student role สร้าง log/ form DOP3 POCUS จะพบว่าไม่มีให้ทำ pre-requisite,teachear role ตอนตรวจจะพบ แนบ pre-requisite แต่เด็กไม่เห็นจึงทำไม่ได้,ตอนแนบ DOP3 POCUS ต้องขึ้น pre-requisite ให้เลือก และพอกดส่งต้อง navigate ไปทำ self reflection form ทันที,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
General: Student do not have notification when receive self reflection form,อาจารย์ส่ง form ที่มี pre-requisite ให้แต่นร.ไม่รู้,Teacher role กดสร้าง form ที่มี pre requisite ส่งให้ นร. เมื่อสลับ account มาที่ Student จะไม่ได้รับ notification เตือนว่ามี self reflection ต้องเข้าไปทำ,นร. ไม่รู้ว่ามี self reflection form ส่งมา,ควรมีการเตือนที่ mailbox ว่ามี self teflection form รอให้ทำ,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
ปัญหา Pre-requisite,Pre-requisite เมื่อแนบเสร็จจะ Error,สร้างฟอร์มที่มี pre-requisite > submit form,form pre-requisiteเมื่อกดส่งจะขึ้น something went wrong ไม่พาไปทำ pre-requisite ให้ออโต้,Pre-requisite form พาไปทำทันทีที่ส่งฟอร์มและสามารถใช้งานได้ไม่ error,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
QR scanner ไม่ทำงาน,QR scanner ไม่ทำงาน,Click menu Procedure( or Patient care or Form) > Click QR Scanner ที่มุมขวาบนหน้าจอ,ไม่ตอบสนองใดๆ,,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Export ดึงข้อมูลผิด,หาก Export conference แบบระบุช่วงเวลานึง 1. ข้อมูลจำนวนสัมมนา หรือ 2.จำนวนคนเข้าร่วมที่ได้ออกมา จะไม่ใช่ในช่วงเวลาดังกล่าว แต่เป็นข้อมูล sum ทั้งหมดของระบบในหัวข้อนั้นๆ,,ได้ค่าตัวเลข export ของข้อมูลทั้งหมด ไม่ใช่ช่วงเวลาที่ระบุ,ได้ค่าเฉพาะช่วงเวลาที่ระบุ เช่น - conference_attendance_count ได้เฉพาะช่วงเวลาที่ระบุ ไม่ใช่แสดงข้อมูลทั้งหมดบนระบบ - conference_count ได้เฉพาะช่วงเวลาที่ระบุ ไม่ใช่แสดงข้อมูลทั้งหมดบนระบบ,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
หน้า Procedure log/Form ทุกๆรายการlog/formไม่ตอบสนองในการคลิก,หน้า Procedure log/Form ทุกๆรายการlog/formไม่ตอบสนองในการคลิก,click menu procedure log > click any log (Form ด้วย),นิ่ง ไม่ตอบสนองใดๆ ไม่สามารถแก้ไขหรือดูlogได้,,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Frontend แสดง Satisfaction ผิด,"- Edit Procedure log, Field satisfaction",สร้าง log แล้วเลือก satiafaction = 5,ระบบจะแสดงเป็น terrible ทั้งที่จริง ๆ คือ great,,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
form เบิ้ล - part 2,Teacher ส่ง form ให้นร. เบิ้ล,Teacher role กดส่ง form ให้นร. เมื่อเปลี่ยนไปเข้า account Student จะพบ form เบิ้ล,,,Major,Logic,Extra,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Extra, Effect=Functionality",,
Form wizard ใส่ qcode ไปแล้ว ไม่ update,"form wizard,1. ใส่ form wizard qcode",ui แสดงว่า qcode ยังไม่ได้ใส่,warnning ว่าไม่ใส่ qcode ควรหารไป,,Major,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Patient care mail(in appnotification) not delivered,Not get mail,ให้นักเรียนส่ง patient care และเช็คจากแอคเค้าอาจารย์ อาจารย์จะไม่ได้รับ mail patient care submitted,ไม่ได้รับ mail,หากเด็กส่ง patient care มาควรขึ้นในเมลอาจารย์,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
Procedure Log → View All แสดงผลผิดพลาด,Role: Student Menu: Procedure log,1. ไปที่หน้า procedure log 2. กด View All 3. กดเข้าไปดู detail ของการ์ด procedure,ระบบแสดงผลในกล่อง total approve ผิดพลาด และไม่แสดง procedure list,ระบบควรแสดงข้อมูลถูกต้องเหมือน procduction อื่น,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
แอพบึ้ม ในหน้า procedurelog กด Multi select แล้ว filter วันที่💣 💥,filter วันที่ >> App crash,ไปหน้า procedurelog กด multi select for approve แล้วทำการ filter ด้วยวันที่,แอพบึ้ม,,Critical,Interface,Wrong,Coding,Performance,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Performance",,
API search_procedure ไม่ return จำนวน done ของ log type ที่ไม่มี min require,api search_procedure ไม่ return done ของ log type อื่นมานอกจาก operator มาให้ถ้าไม่มีจำนวน min require,1. ลองส่ง procedure log ด้วย log type ที่ไม่มี min require 2. ลองใช้ api,log type ที่ไม่มี min require จะไม่นับจำนวน done ให้,,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
General: Conference time - part 4,Conference mail in inbox,ต่อจากข้อ 1-3 (Teacher role) หากเช็ค mail เวลา conference ที่แสดงจะผิด เป็น GMT+2 (กรณีสร้างผิด) +1(กรณีสร้างถูก),แสดงเวลาconference เป็น GMT +2/+1 ใน mailbox,GMT + 7,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
รูปภาพไม่พรีวิว,รูปภาพที่แนบไม่แสดงตัวอย่าง,กดสร้างlogใหม่ > แนบไฟล์ภาพ,ไม่แสดงภาพตัวอย่างของไฟล์ที่แนบไป,มีพรีวิวthumbnail attached image,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
